"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000043591","ADRB1",1.94072053049165,0.659231658723981,"ADRB1",2.01488784918686,0.488500572950587,"ADRB1",0.0524442139918053,FALSE
"ENSG00000236017","ASMTL-AS1",1.44885583083653,0.660320528938471,"ASMTL-AS1",1.83818465579646,0.216278331644712,"ASMTL-AS1",0.275297052240557,FALSE
"ENSG00000125657","TNFSF9",-1.54054846376769,0.661849144550068,"TNFSF9",-1.48126843319077,0.889891182918204,"TNFSF9",0.04191731160989,FALSE
"ENSG00000206538","VGLL3",1.42711284501714,0.661849144550068,"VGLL3",0.680257829792934,0.944942168185201,"VGLL3",0.528106245828221,FALSE
"ENSG00000293615","ENSG00000293615",2.22052662300105,0.661849144550068,"ENSG00000293615",2.33322083110862,0.418444287843388,"ENSG00000293615",0.0796868387533159,FALSE
"ENSG00000101825","MXRA5",2.25300241714603,0.662564584529015,"MXRA5",-0.325868349155455,0.995154265654586,"MXRA5",1.82353700665553,FALSE
"ENSG00000235989","MORC2-AS1",-0.869839427523066,0.665101825154355,"MORC2-AS1",-0.422359399657285,0.986260043356027,"MORC2-AS1",0.316416162149439,FALSE
"ENSG00000250366","TUNAR",-1.00137297761315,0.665101825154355,"TUNAR",-1.04776786840727,0.0238064883456788,"TUNAR",0.0328061418929301,TRUE
"ENSG00000112041","TULP1",2.49051229578763,0.665105348579842,"TULP1",1.04064687924791,0.949842962670988,"TULP1",1.0252096678431,FALSE
"ENSG00000073417","PDE8A",0.816547545462791,0.666616375993226,"PDE8A",0.115070271896512,0.995154265654586,"PDE8A",0.496019336986967,FALSE
"ENSG00000241506","PSMC1P1",1.39786956160599,0.666616375993226,"PSMC1P1",-0.166983304530969,0.995296927215984,"PSMC1P1",1.10651807320465,FALSE
"ENSG00000253438","PCAT1",1.23602579628989,0.666616375993226,"PCAT1",1.27322496128359,0.526959286093858,"PCAT1",0.0263037818215231,FALSE
"ENSG00000158089","GALNT14",-1.61828969178904,0.667157819808105,"GALNT14",-1.7620593894921,0.271899196111591,"GALNT14",0.101660528174975,FALSE
